Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,SINTRO Asset Management GmbH,SPY4,SPY4,USD,Institution Client,"January 1, 2024 to July 24, 2024 (Daily)",TWR
Allocation by Asset Class,MetaInfo,Analysis Period,"January 1, 2024 - July 24, 2024"
Allocation by Asset Class,Header,Date,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20240626,0,10129.6,3710.523169,13840.123169
Allocation by Asset Class,Data,20240627,0,10134.2,3723.023169,13857.223169
Allocation by Asset Class,Data,20240628,0,10126.6,3600.523169,13727.123169
Allocation by Asset Class,Data,20240701,0,10056,3710.483169,13766.483169
Allocation by Asset Class,Data,20240702,0,10079.4,3885.483169,13964.883169
Allocation by Asset Class,Data,20240703,0,10095,3992.983169,14087.983169
Allocation by Asset Class,Data,20240704,0,10095,3992.983169,14087.983169
Allocation by Asset Class,Data,20240705,0,10119.8,4149.233169,14269.033169
Allocation by Asset Class,Data,20240708,0,10114.2,4167.983169,14282.183169
Allocation by Asset Class,Data,20240709,0,10114.4,4197.983169,14312.383169
Allocation by Asset Class,Data,20240710,0,10124.4,4481.733169,14606.133169
Allocation by Asset Class,Data,20240711,0,10138.6,4240.483169,14379.083169
Allocation by Asset Class,Data,20240712,0,10161,4365.483169,14526.483169
Allocation by Asset Class,Data,20240715,0,10163.4,4456.733169,14620.133169
Allocation by Asset Class,Data,20240716,0,10186.8,4627.983169,14814.783169
Allocation by Asset Class,Data,20240717,0,10181.2,4236.733169,14417.933169
Allocation by Asset Class,Data,20240718,0,10171.4,4014.233169,14185.633169
Allocation by Asset Class,Data,20240719,0,10170.4,3810.483169,13980.883169
Allocation by Asset Class,Data,20240722,0,10192.6,4095.483169,14288.083169
Allocation by Asset Class,Data,20240723,0,10188,4037.983169,14225.983169
Allocation by Asset Class,Data,20240724,0,10167.8,3401.733169,13569.533169
Disclosure,"IMPORTANT NOTE: This portfolio analysis was generated using Interactive Brokers' PortfolioAnalyst tool, which allows Interactive Brokers clients to generate analyses of their accounts using market data provided by third parties along with trade and account data contained in Interactive Brokers' systems. This analysis is for information purposes only and is provided AS IS. Interactive Brokers makes no warranty of any kind, express or implied, as to this report analysis and its contents. The data provided for use in this Portfolio Analysis is believed to be accurate but completeness and accuracy of the information is not guaranteed, and Interactive Brokers has no liability with respect thereto. The data regarding accounts held outside of Interactive Brokers is obtained either directly from you or from the financial institutions holding those accounts through a third-party service provider and Interactive Brokers has not reviewed its accuracy.

This material in this analysis is intended only as a reference and should not be relied upon for the maintenance of your books and records for tax, accounting, financial, or regulatory reporting or for any other purposes. This analysis is not an offer or a solicitation of an offer to buy or sell any security. This material does not and is not intended to take into account the particular financial conditions, investment objectives or requirements of individual customers. Before acting on this material, you should consider whether it is suitable for your particular circumstances and, as necessary, seek professional advice."
